Qual é o nome do Reitor?|O nome do Reitor é Antonio José de Almeida Meirelles
Quantas vagas regulares são distribuidas para ingresso nos cursos de graduação?|3340 vagas regulares são distribuídas para ingresso nos cursos de graduação.
Quantas vagas serão distribuidas pelo enem?|314 vagas serão distribuídas pelo ENEM-Unicamp 2025.
Quantas vagas serão oferecidas pelo vestibular indígena?|49 vagas serão oferecidas pelo Vestibular Indígena (VI) 2025.
Quais os principais objetivos do vestibular da unicamp?|Classificar e selecionar candidatos(as) adequados(as) ao perfil de estudantes desejado pela Unicamp, verificar o domínio do conhecimento desenvolvido pelos(as) candidatos(as) nas diversas formas de educação do Ensino Médio, avaliar a aptidão e o potencial dos(as) candidatos(as) para o curso superior em que pretendem ingressar, e interagir com os sistemas de Ensino Fundamental e Médio e contribuir para o aprimoramento da educação básica.
Qual o periodo de inscrição do vestibular?|01 a 30 de agosto de 2024
O candidato precisa levar documento para as provas?|Sim,o candidato precisa necessariamente levar documento para as provas
Qual o valor da taxa de inscrição do VU 2025?|A Taxa de Inscrição para o VU 2025 será de R$ 210,00 (duzentos e dez reais)
Quantas questoes constituem a primeira fase?|A 1ª fase será constituída de uma única prova de Conhecimentos Gerais composta por 72 (setenta e duas) questões objetivas sobre as áreas do conhecimento desenvolvidas no Ensino Médio, incluindo questões interdisciplinares.
Quando será realizada a 1 fase do VU 2025?|A 1ª fase do VU 2025 será realizada no dia 20 de outubro de 2024.
Quando será realizada a 2 fase do VU 2025?|A 2ª fase do VU 2025 será realizada nos dias 01 e 02 de dezembro de 2024.
É possivel reverter o cancelamento de matricula?|Não é possivel reverter o cancelamento da matricula
Qual o tempo maximo que um candidato terá para realizar a prova ?|O tempo máximo que um candidato terá para realizar a prova é de 5 horas.
Qual o tempo minimo que um candidato tera para realizar a prova?|O tempo máximo que um candidato terá para realizar a prova é de 2 (duas) horas.
É possivel estar matriculado em mais de uma instituição publica?|É vedada, por lei, a matrícula simultânea em mais de uma instituição pública brasileira de ensino superior federal, estadual ou municipal.
O que acontece com o candidato convocado que não realizar sua matricula?|O candidato perde o direito à vaga para o curso qual foi convocado
Quais as habilidades gerais avaliadas pelo vestibular da unicamp?|Identificar e reconhecer, inferir, analisar criticamente, comparar, formular hipóteses a partir de evidências e aplicar.
Quais situações anulam a redação?|A redação pode ser anulada se o candidato abordar outro tema que não o da proposta escolhida, se não cumprir as tarefas solicitadas na proposta nem o gênero discursivo solicitado, ou se simplesmente reproduzir os textos da prova em forma de colagem, seja do enunciado ou da coletânea da proposta escolhida.
Quais as habilidades avaliadas na prova de lingua portuguesa?|As habilidades avaliadas na prova de Língua Portuguesa incluem a capacidade de reconhecer a língua como fenômeno sociocultural, compreender práticas de linguagem em diversos contextos, interpretar criticamente textos de diferentes gêneros e mídias, analisar estruturas linguísticas, reconhecer normas linguísticas e variedades da língua, além de ser capaz de ler, interpretar e reconstruir o sentido de textos, considerando diversos aspectos socioeconômicos, ideológicos e culturais envolvidos nos discursos.
Quais as habilidades avaliadas na prova de redação?|A prova de Redação avalia habilidades de leitura e escrita dos candidatos na produção de textos pertencentes a diferentes gêneros discursivos.
Quais as habilidades avaliadas na prova de literatura da lingua portuguesa?|A capacidade de leitura, compreensão analítica e interpretação crítica de textos produzidos nas tradições das literaturas de língua portuguesa.
Quais as obras compoem a prova de literatura da lingua portuguesa?|Prosas seguidas de odes mínimas,10 canções escolhidas,Morangos mofados,6 contos escolhidos,Olhos d’água,Vida e morte de M.J. Gonzaga de Sá,
Quais as obras compoem a prova de literatura da lingua portuguesa?|Prosas seguidas de odes mínimas,10 canções escolhidas,Morangos mofados,6 contos escolhidos,Olhos d’água,Vida e morte de M.J. Gonzaga de Sá,Niketche – uma História de Poligamia,Casa Velha,Alice no país das maravilhas,A vida não é útil
Quais as habilidades avalidadas na prova de Matemática?|A prova de Matemática avalia a capacidade dos candidatos em interpretar enunciados, formular problemas matemáticos, realizar cálculos corretos, utilizar unidades apropriadas, escolher respostas corretas e apresentar soluções de forma clara. Além disso, é esperado que os candidatos estejam familiarizados com a nomenclatura e os símbolos matemáticos usuais, saibam resolver problemas do cotidiano, interpretar e elaborar tabelas e gráficos, e compreender conceitos matemáticos abstratos.
Cite os conteudos programados para a prova de Matematica:|Conjuntos numéricos, funções e gráficos, polinômios com coeficientes reais, contagem e probabilidade, sistemas lineares, geometria plana, geometria espacial, trigonometria, geometria analítica.
Quais as habilidades avaliadas na prova de Geografia?|Resolver problemas geográficos mobilizando conceitos fundamentais dessa área do conhecimento: espaço, território, região, lugar, escala, paisagem; aprimorar o raciocínio geográfico desenvolvendo o pensamento espacial, aplicando os princípios geográficos (analogia, conexão, diferenciação, distribuição, extensão, localização e ordem) para compreender aspectos da dinâmica socioespacial; compreender a espacialização dos fenômenos a partir da interpretação de textos, gráficos, tabelas, cartogramas e mapas; descrever, analisar e relacionar processos espaciais em suas múltiplas escalas; conhecer a dinâmica dos territórios nacionais por meio de distintas abordagens envolvendo aspectos socioeconômicos e culturais, geopolíticos e políticos, recursos naturais e energéticos; elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Geografia e Sociologia.
Quais as habilidades avaliadas na prova de Historia?|Compreender documentos históricos de múltiplas naturezas, relacionar os documentos aos seus contextos de produção, descrever e analisar conceitos básicos da História, cotejar fontes historiográficas, elaborar respostas escritas baseadas no conteúdo programático de História.
Cite os conteudos programados para a prova de Historia:|Antiguidade Clássica, Período Medieval, Período Moderno,Período Contemporâneo,Historia do tempo presente
Quais as habilidades avaliadas na prova de Sociologia?|As habilidades avaliadas na prova de Sociologia incluem aprimorar o raciocínio sociológico, reconhecer e mobilizar conceitos para contextualizar processos políticos, econômicos, sociais, ambientais e culturais; selecionar e sistematizar evidências, informações e dados sobre grupos, povos e sociedades em fontes diversas; analisar situações da vida cotidiana, estilos de vida, valores, condutas individuais e coletivas; e elaborar respostas escritas que envolvam descrição, exposição e argumentação com base nas informações e conhecimentos listados no conteúdo programático de Sociologia.
Quais as habilidades avaliadas na prova de Filosofia?|Analisar textos filosóficos considerando contexto histórico e filosófico, compreender e interpretar criticamente textos filosóficos de diferentes épocas, comparar abordagens filosóficas de um mesmo tema, elaborar respostas escritas com base no conteúdo programático de Filosofia.
Quais as habilidades avaliadas na prova de lingua inglesa?|As habilidades avaliadas na prova de língua inglesa incluem ler, analisar e interpretar informações em textos variados em inglês, mobilizar conhecimentos sistêmicos para construir significados a partir da leitura reflexiva e crítica, articular conhecimentos diversos a partir de manifestações artístico-culturais em inglês, elaborar respostas escritas com base nas informações do conteúdo programático de língua inglesa e articular conhecimentos de diversas áreas sob uma perspectiva interdisciplinar.
Quais as habilidades avalidas na prova de ciências biologicas?|Na prova de Ciências Biológicas, as habilidades avaliadas incluem o domínio do conteúdo programático do Ensino Médio relativo à Biologia, a capacidade de correlacionar e integrar conhecimentos de diferentes áreas, a articulação do conteúdo programático com Temas Contemporâneos Transversais, a descrição, análise e relação de conceitos básicos, a interpretação de informações apresentadas, a construção, análise e interpretação de gráficos, tabelas e imagens, a atitude crítica em relação a material extracurricular, e a consciência da evolução contínua da ciência e sua interação com outras áreas do conhecimento.
Quais as habilidades avaliadas na prova de Fisica?|Ler, analisar, interpretar e compreender informações e conceitos em textos variados, inclusive expressões matemáticas, análise dimensional, ordem de grandezas, aproximações, tabelas, gráficos, esquemas e imagens; Resolver problemas de Física que envolvam: contextualização de fenômenos naturais e experimentos científicos; aplicação de conceitos físicos a situações do cotidiano, inclusive a apropriada estimativa de valores de grandezas envolvidas; manipulações matemáticas; Analisar e discutir modelos, teorias e leis propostos em diferentes épocas e culturas para comparar distintas explicações sobre os fenômenos da natureza, como a formação e a evolução da Terra e do Universo, com as teorias científicas aceitas atualmente; Descrever, analisar e relacionar conceitos básicos de Física; Elaborar respostas escritas que envolvam desenvolvimento do problema proposto com o correto conceito físico, a pertinente manipulação matemática e o devido uso de grandezas e de unidades físicas.
Quais os conteudos programados para a prova de Fisica?|Fundamentos da Física,Mecânica,Astronomia,Calorimetria e termodinâmica,Óptica e ondas,Eletricidade e magnetismo
Quais as habilidades avalidas na prova de Quimica?|Observar e descrever fenômenos, utilizar modelos para interpretar fenômenos, usar aparelhagem básica no manuseio de materiais, obter informações a respeito de transformações, ler, analisar, comparar e interpretar informações em textos variados, resolver problemas de Química contextualizando fenômenos e processos científicos, aplicar conceitos e informações a situações, descrever, analisar e relacionar conceitos fundamentais de Química, elaborar respostas escritas que envolvam descrição, exposição e argumentação crítica com base no conteúdo programático de Química.
Quais as habilidades avaliadas na prova de Quimica?|Materiais,Gases,Estrutura atômica e classificação periódica,Ligação química,Transformações dos materiais,Cinética química,Energia nas reações químicas,Equilíbrio químico,Eletroquímica,Química de compostos orgânicos,O mundo em transformação
Onde será realizada a prova de habilidades especificas para arquitetura e urbanismo?|A prova de Habilidades Específicas para Arquitetura e Urbanismo será realizada na Faculdade de Engenharia Civil Arquitetura e Urbanismo, localizada no campus universitário Zeferino Vaz em Campinas – SP.
Quantos pontos vale a prova especifica de arquitetura e urbanismo?|A prova específica de Arquitetura e Urbanismo vale 48 pontos.
Cite os materiais que o candidato deve levar para a prova especifica de arquitetura e urbanismo|Lápis ou lapiseira com grafites macias: B, 2B, 6B,Canetas hidrográficas coloridas,Caixa de lápis de cor,Compasso,Fita adesiva,Cola bastão,Tesoura pequena,Borracha
Quando serão realizadas as provas especificas do curso de Artes Cênicas?|As provas específicas do curso de Artes Cênicas serão 11 a 13 de dezembro de 2024
Qual a bibliografia exigida na prova teorica do curso de Artes Cênicas?|ABREU, Luis Alberto de. A Restauração da Narrativa. São Paulo, Núcleo de Dramaturgia Sesi, 2016. PEIXOTO, Fernando. O que é Teatro. NAVARRO, Gracia. Teatro de quermesse.
Liste as peças para a prova de palco|Anton Tchekhov – Tio Vânia, Arístides Vargas – Flores arrancadas à neve, Bernard-Marie Koltès – Roberto Zucco, Bertolt Brecht – Mãe Coragem e seus filhos, Dione Carlos – Kaim, Emilio Carballido – Orinoco, Eugene Ionesco – A Cantora Careca, Federico Garcia Lorca – Bodas de sangue, Gianfrancesco Guarnieri – Ponto de Partida, Grace Passô – Vaga Carne; Amores surdos, Jhonny Salaberg – Buraquinhos ou o vento é inimigo do picumã, Michelle Ferreira – Os adultos estão na sala, Molière – O Burguês Fidalgo, Nelson Rodrigues – A Falecida, Newton Moreno – Agreste, Oswald de Andrade – O Rei da Vela, Plínio Marcos – Dois perdidos numa noite suja, Samuel Beckett – Fim de jogo, Sófocles – Antígona, William Shakespeare – A tempestade.
Quais as habilidades especificas para o curso de Artes Visuais?História da Arte,Expressão Plástica e Entrevista.
Quais os criterios de avaliação da prova especifica de Danca?|Os critérios de avaliação da prova específica de Dança são: Atitude, Domínio no uso do espaço/tempo, Integração, Fluidez, Persistência no desempenho das ações corporais e Inventividade.
Quais os instrumentos do curso de musica popular?|Violão, saxofone, guitarra, contrabaixo, piano, voz e bateria.
Quais são os cursos dea area de ciencias biologicas/saude?|Ciências Biológicas (Integral),Ciências Biológicas - Licenciatura (Noturno),Ciências do Esporte (Integral),Educação Física (Integral),Educação Física (Noturno),Enfermagem (Integral),Farmácia (Integral),Fonoaudiologia (Integral),Medicina (Integral),Nutrição (Integral),Odontologia (Integral)
